Year,Births
1950,146923
1951,149934
1952,155417
1953,159821
1954,163145
1955,165403
1956,166637
1957,166916
1958,166366
1959,165205
1960,163688
1961,162087
1962,160673
1963,159640
1964,159053
1965,158797
1966,158619
1967,158227
1968,157449
1969,156300
1970,154982
1971,153809
1972,153047
1973,152817
1974,153065
1975,153613
1976,154184
1977,154418
1978,154003
1979,152766
1980,150474
1981,146961
1982,142386
1983,137024
1984,131151
1985,125192
1986,119619
1987,114796
1988,110978
1989,108290
1990,106720
1991,106095
1992,106039
1993,106219
1994,106475
1995,106680
1996,106779
1997,106834
1998,106899
1999,106975
2000,107161
2001,107594
2002,108319
2003,109286
2004,110362
2005,111282
2006,111722
2007,111449
2008,110331
2009,108359
2010,105635
2011,102362
2012,98858
2013,95394
2014,92115
2015,89090
2016,86303
2017,83655
2018,81081
2019,78607
